product,technology,year,region,annual_production_capacity,capacity_factor
Ammonia,Biomass Digestion + ammonia synthesis,2044,India,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2044,Latin America,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2044,Middle East,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2044,North America,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2044,Oceania,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2044,Rest of Asia,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2044,Russia,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2045,Africa,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2045,China,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2045,Europe,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2045,India,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2045,Latin America,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2045,Middle East,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2045,North America,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2045,Oceania,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2045,Rest of Asia,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2045,Russia,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2046,Africa,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2046,China,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2046,Europe,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2046,India,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2046,Latin America,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2046,Middle East,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2046,North America,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2046,Oceania,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2046,Rest of Asia,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2046,Russia,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2047,Africa,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2047,China,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2047,Europe,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2047,India,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2047,Latin America,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2047,Middle East,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2047,North America,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2047,Oceania,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2047,Rest of Asia,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2047,Russia,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2048,Africa,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2048,China,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2048,Europe,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2048,India,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2048,Latin America,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2048,Middle East,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2048,North America,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2048,Oceania,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2048,Rest of Asia,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2048,Russia,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2049,Africa,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2049,China,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2049,Europe,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2049,India,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2049,Latin America,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2049,Middle East,10,0.95
