,product,technology,region,technology_lifetime,wacc,technology_classification,current_trl,expected_maturity,capacity_factor,year
226,Alumina,Coal-Boiler + Oil-Calciner,Rest of Europe,25,0.06,initial,,2020,,2020
227,Alumina,Coal-Boiler + H2-Calciner,Rest of Europe,25,0.06,transition,,2030,,2020
228,Alumina,Elec-Boiler + Elec-Calciner,Rest of Europe,20,0.06,end-state,,2030,,2020
229,Alumina,Elec-Boiler + Gas-Calciner,Rest of Europe,25,0.06,transition,,2020,,2020
230,Alumina,Elec-Boiler + Oil-Calciner,Rest of Europe,25,0.06,transition,,2020,,2020
231,Alumina,Elec-Boiler + H2-Calciner,Rest of Europe,25,0.06,end-state,,2030,,2020
232,Alumina,H2-Boiler + Elec-Calciner,Rest of Europe,20,0.06,end-state,,2030,,2020
233,Alumina,H2-Boiler + Gas-Calciner,Rest of Europe,25,0.06,transition,,2027,,2020
234,Alumina,H2-Boiler + Oil-Calciner,Rest of Europe,25,0.06,transition,,2027,,2020
235,Alumina,H2-Boiler + H2-Calciner,Rest of Europe,25,0.06,end-state,,2030,,2020
236,Alumina,MVR-Fossil-Boiler + Elec-Calciner,Rest of Europe,20,0.06,end-state,,2030,,2020
237,Alumina,MVR-Fossil-Boiler + Gas-Calciner,Rest of Europe,25,0.06,transition,,2027,,2020
238,Alumina,MVR-Fossil-Boiler + Oil-Calciner,Rest of Europe,25,0.06,transition,,2027,,2020
239,Alumina,MVR-Fossil-Boiler + H2-Calciner,Rest of Europe,25,0.06,end-state,,2030,,2020
240,Alumina,Gas-Boiler + Elec-Calciner,Middle East,20,0.06,transition,,2030,,2020
241,Alumina,Gas-Boiler + Gas-Calciner,Middle East,25,0.06,initial,,2020,,2020
242,Alumina,Gas-Boiler + Oil-Calciner,Middle East,25,0.06,initial,,2020,,2020
243,Alumina,Gas-Boiler + H2-Calciner,Middle East,25,0.06,transition,,2030,,2020
244,Alumina,Oil-Boiler + Elec-Calciner,Middle East,20,0.06,transition,,2030,,2020
245,Alumina,Oil-Boiler + Gas-Calciner,Middle East,25,0.06,initial,,2020,,2020
246,Alumina,Oil-Boiler + Oil-Calciner,Middle East,25,0.06,initial,,2020,,2020
247,Alumina,Oil-Boiler + H2-Calciner,Middle East,25,0.06,transition,,2030,,2020
248,Alumina,Coal-Boiler + Elec-Calciner,Middle East,20,0.06,transition,,2030,,2020
249,Alumina,Coal-Boiler + Gas-Calciner,Middle East,25,0.06,initial,,2020,,2020
250,Alumina,Coal-Boiler + Oil-Calciner,Middle East,25,0.06,initial,,2020,,2020
251,Alumina,Coal-Boiler + H2-Calciner,Middle East,25,0.06,transition,,2030,,2020
252,Alumina,Elec-Boiler + Elec-Calciner,Middle East,20,0.06,end-state,,2030,,2020
253,Alumina,Elec-Boiler + Gas-Calciner,Middle East,25,0.06,transition,,2020,,2020
254,Alumina,Elec-Boiler + Oil-Calciner,Middle East,25,0.06,transition,,2020,,2020
255,Alumina,Elec-Boiler + H2-Calciner,Middle East,25,0.06,end-state,,2030,,2020
256,Alumina,H2-Boiler + Elec-Calciner,Middle East,20,0.06,end-state,,2030,,2020
257,Alumina,H2-Boiler + Gas-Calciner,Middle East,25,0.06,transition,,2027,,2020
258,Alumina,H2-Boiler + Oil-Calciner,Middle East,25,0.06,transition,,2027,,2020
259,Alumina,H2-Boiler + H2-Calciner,Middle East,25,0.06,end-state,,2030,,2020
260,Alumina,MVR-Fossil-Boiler + Elec-Calciner,Middle East,20,0.06,end-state,,2030,,2020
261,Alumina,MVR-Fossil-Boiler + Gas-Calciner,Middle East,25,0.06,transition,,2027,,2020
262,Alumina,MVR-Fossil-Boiler + Oil-Calciner,Middle East,25,0.06,transition,,2027,,2020
263,Alumina,MVR-Fossil-Boiler + H2-Calciner,Middle East,25,0.06,end-state,,2030,,2020
264,Alumina,Gas-Boiler + Elec-Calciner,Africa,20,0.06,transition,,2030,,2020
265,Alumina,Gas-Boiler + Gas-Calciner,Africa,25,0.06,initial,,2020,,2020
266,Alumina,Gas-Boiler + Oil-Calciner,Africa,25,0.06,initial,,2020,,2020
267,Alumina,Gas-Boiler + H2-Calciner,Africa,25,0.06,transition,,2030,,2020
268,Alumina,Oil-Boiler + Elec-Calciner,Africa,20,0.06,transition,,2030,,2020
269,Alumina,Oil-Boiler + Gas-Calciner,Africa,25,0.06,initial,,2020,,2020
270,Alumina,Oil-Boiler + Oil-Calciner,Africa,25,0.06,initial,,2020,,2020
271,Alumina,Oil-Boiler + H2-Calciner,Africa,25,0.06,transition,,2030,,2020
272,Alumina,Coal-Boiler + Elec-Calciner,Africa,20,0.06,transition,,2030,,2020
273,Alumina,Coal-Boiler + Gas-Calciner,Africa,25,0.06,initial,,2020,,2020
274,Alumina,Coal-Boiler + Oil-Calciner,Africa,25,0.06,initial,,2020,,2020
275,Alumina,Coal-Boiler + H2-Calciner,Africa,25,0.06,transition,,2030,,2020
276,Alumina,Elec-Boiler + Elec-Calciner,Africa,20,0.06,end-state,,2030,,2020
277,Alumina,Elec-Boiler + Gas-Calciner,Africa,25,0.06,transition,,2020,,2020
278,Alumina,Elec-Boiler + Oil-Calciner,Africa,25,0.06,transition,,2020,,2020
279,Alumina,Elec-Boiler + H2-Calciner,Africa,25,0.06,end-state,,2030,,2020
280,Alumina,H2-Boiler + Elec-Calciner,Africa,20,0.06,end-state,,2030,,2020
281,Alumina,H2-Boiler + Gas-Calciner,Africa,25,0.06,transition,,2027,,2020
282,Alumina,H2-Boiler + Oil-Calciner,Africa,25,0.06,transition,,2027,,2020
283,Alumina,H2-Boiler + H2-Calciner,Africa,25,0.06,end-state,,2030,,2020
284,Alumina,MVR-Fossil-Boiler + Elec-Calciner,Africa,20,0.06,end-state,,2030,,2020
285,Alumina,MVR-Fossil-Boiler + Gas-Calciner,Africa,25,0.06,transition,,2027,,2020
286,Alumina,MVR-Fossil-Boiler + Oil-Calciner,Africa,25,0.06,transition,,2027,,2020
287,Alumina,MVR-Fossil-Boiler + H2-Calciner,Africa,25,0.06,end-state,,2030,,2020
