product,technology,region,technology_lifetime,wacc,technology_classification,current_trl,expected_maturity,capacity_factor,year
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,Oceania,30,8%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,Oceania,0,9%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Small Modular Reactor,Oceania,30,7%,end-state,,2035,,2020
Aluminium,Inert Anode + Coal,Oceania,30,9%,transition,,2030,,2020
Aluminium,Inert Anode + Coal+CCS,Oceania,30,8%,end-state,,2030,,2020
Aluminium,Inert Anode + Grid,Oceania,0,9%,end-state,,2030,,2020
Aluminium,Inert Anode + Hydro,Oceania,60,7%,end-state,,2030,,2020
Aluminium,Inert Anode + Natural Gas,Oceania,30,9%,transition,,2030,,2020
Aluminium,Inert Anode + Natural Gas+CCS,Oceania,30,8%,end-state,,2030,,2020
Aluminium,Inert Anode + PPA+Grid,Oceania,0,9%,end-state,,2030,,2020
Aluminium,Inert Anode + Small Modular Reactor,Oceania,30,7%,end-state,,2035,,2020
Aluminium,Carbon Anode + Coal,Rest of Asia,30,9%,initial,,2020,,2020
Aluminium,Carbon Anode + Coal+CCS,Rest of Asia,30,9%,transition,,2025,,2020
Aluminium,Carbon Anode + Grid,Rest of Asia,0,10%,transition,,2020,,2020
Aluminium,Carbon Anode + Hydro,Rest of Asia,60,7%,transition,,2020,,2020
Aluminium,Carbon Anode + Natural Gas,Rest of Asia,30,9%,initial,,2020,,2020
Aluminium,Carbon Anode + PPA+Grid,Rest of Asia,0,10%,transition,,2025,,2020
Aluminium,Carbon Anode+CCS + Coal,Rest of Asia,30,9%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Coal+CCS,Rest of Asia,30,9%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Grid,Rest of Asia,0,10%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Hydro,Rest of Asia,60,7%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas,Rest of Asia,30,9%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,Rest of Asia,30,8%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,Rest of Asia,0,10%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Small Modular Reactor,Rest of Asia,30,8%,end-state,,2035,,2020
Aluminium,Inert Anode + Coal,Rest of Asia,30,9%,transition,,2030,,2020
Aluminium,Inert Anode + Coal+CCS,Rest of Asia,30,9%,end-state,,2030,,2020
